FraudFound,AccidentArea,Age,VehiclePrice,PastNumberOfClaims,Fault
No,Urban,35,"more than 69,000",2 to 4,Policy Holder
No,Urban,21,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,53,"20,000 to 29,000",none,Third Party
No,Urban,38,"20,000 to 29,000",none,Policy Holder
No,Rural,49,"30,000 to 39,000",none,Policy Holder
No,Urban,44,"20,000 to 29,000",1,Policy Holder
No,Urban,52,"30,000 to 39,000",1,Policy Holder
No,Urban,68,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,23,"20,000 to 29,000",2 to 4,Third Party
No,Urban,48,"20,000 to 29,000",none,Policy Holder
No,Rural,37,"20,000 to 29,000",none,Policy Holder
No,Rural,30,"30,000 to 39,000",1,Policy Holder
No,Rural,48,"more than 69,000",none,Policy Holder
No,Urban,45,"20,000 to 29,000",1,Third Party
No,Rural,45,"more than 69,000",none,Third Party
No,Urban,59,"less than 20,000",none,Policy Holder
Yes,Urban,65,"20,000 to 29,000",1,Policy Holder
No,Urban,34,"20,000 to 29,000",1,Policy Holder
No,Urban,31,"20,000 to 29,000",1,Third Party
No,Urban,29,"30,000 to 39,000",1,Policy Holder
No,Urban,44,"20,000 to 29,000",none,Third Party
No,Urban,44,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,27,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,39,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,54,"more than 69,000",more than 4,Policy Holder
No,Urban,35,"30,000 to 39,000",none,Third Party
No,Urban,43,"less than 20,000",1,Policy Holder
No,Urban,44,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,26,"20,000 to 29,000",1,Policy Holder
No,Urban,45,"30,000 to 39,000",none,Third Party
No,Rural,0,"more than 69,000",1,Policy Holder
No,Urban,51,"more than 69,000",2 to 4,Policy Holder
No,Urban,45,"30,000 to 39,000",2 to 4,Third Party
No,Urban,34,"more than 69,000",1,Policy Holder
No,Urban,21,"20,000 to 29,000",1,Third Party
No,Urban,42,"30,000 to 39,000",none,Third Party
No,Rural,34,"more than 69,000",2 to 4,Policy Holder
No,Urban,31,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,30,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,28,"more than 69,000",none,Third Party
No,Urban,39,"30,000 to 39,000",1,Policy Holder
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,34,"30,000 to 39,000",none,Policy Holder
No,Urban,74,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,41,"20,000 to 29,000",1,Policy Holder
No,Urban,57,"30,000 to 39,000",1,Policy Holder
No,Urban,55,"30,000 to 39,000",none,Policy Holder
No,Urban,64,"60,000 to 69,000",2 to 4,Policy Holder
No,Urban,40,"less than 20,000",1,Policy Holder
No,Urban,41,"more than 69,000",1,Third Party
No,Urban,57,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,31,"more than 69,000",more than 4,Policy Holder
No,Urban,35,"30,000 to 39,000",none,Third Party
No,Urban,31,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,45,"40,000 to 59,000",more than 4,Policy Holder
No,Urban,27,"20,000 to 29,000",none,Third Party
No,Rural,51,"more than 69,000",none,Third Party
No,Urban,48,"30,000 to 39,000",2 to 4,Policy Holder
Yes,Urban,32,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,48,"more than 69,000",more than 4,Policy Holder
No,Urban,33,"20,000 to 29,000",1,Policy Holder
No,Urban,19,"more than 69,000",none,Third Party
No,Rural,41,"30,000 to 39,000",none,Third Party
No,Urban,36,"30,000 to 39,000",2 to 4,Policy Holder
No,Rural,57,"less than 20,000",none,Third Party
No,Urban,43,"20,000 to 29,000",1,Third Party
No,Urban,52,"more than 69,000",2 to 4,Policy Holder
No,Urban,41,"more than 69,000",2 to 4,Policy Holder
No,Urban,37,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,34,"less than 20,000",2 to 4,Third Party
No,Urban,34,"30,000 to 39,000",none,Policy Holder
Yes,Urban,45,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,33,"20,000 to 29,000",1,Policy Holder
No,Urban,46,"more than 69,000",2 to 4,Policy Holder
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,52,"less than 20,000",1,Policy Holder
No,Urban,27,"20,000 to 29,000",1,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,40,"30,000 to 39,000",1,Policy Holder
No,Urban,27,"30,000 to 39,000",1,Policy Holder
No,Urban,27,"20,000 to 29,000",1,Policy Holder
No,Urban,0,"more than 69,000",none,Policy Holder
No,Rural,47,"20,000 to 29,000",2 to 4,Third Party
No,Urban,47,"20,000 to 29,000",more than 4,Third Party
No,Urban,36,"20,000 to 29,000",none,Policy Holder
No,Urban,35,"20,000 to 29,000",1,Third Party
No,Urban,45,"more than 69,000",2 to 4,Third Party
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,46,"20,000 to 29,000",none,Policy Holder
No,Urban,28,"more than 69,000",2 to 4,Third Party
No,Urban,29,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,56,"20,000 to 29,000",2 to 4,Third Party
No,Urban,45,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,55,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",2 to 4,Third Party
No,Urban,39,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,27,"more than 69,000",none,Policy Holder
No,Urban,29,"more than 69,000",1,Policy Holder
No,Urban,51,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,52,"20,000 to 29,000",1,Policy Holder
No,Urban,24,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,27,"20,000 to 29,000",none,Third Party
No,Urban,38,"more than 69,000",2 to 4,Third Party
No,Urban,30,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,0,"more than 69,000",1,Third Party
No,Urban,29,"more than 69,000",2 to 4,Policy Holder
No,Urban,47,"20,000 to 29,000",none,Policy Holder
No,Urban,39,"more than 69,000",2 to 4,Policy Holder
No,Urban,28,"30,000 to 39,000",1,Policy Holder
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,26,"more than 69,000",none,Third Party
No,Urban,35,"20,000 to 29,000",none,Third Party
No,Urban,33,"30,000 to 39,000",more than 4,Third Party
No,Urban,34,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,0,"more than 69,000",more than 4,Policy Holder
No,Urban,64,"more than 69,000",none,Policy Holder
No,Urban,30,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,37,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,40,"20,000 to 29,000",none,Policy Holder
No,Urban,34,"20,000 to 29,000",1,Policy Holder
No,Urban,41,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,34,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,26,"30,000 to 39,000",none,Policy Holder
No,Urban,76,"less than 20,000",none,Policy Holder
No,Urban,36,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,50,"20,000 to 29,000",none,Policy Holder
Yes,Urban,22,"less than 20,000",1,Policy Holder
No,Urban,50,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,49,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,43,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,80,"40,000 to 59,000",more than 4,Third Party
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,39,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,31,"20,000 to 29,000",1,Third Party
No,Urban,27,"20,000 to 29,000",more than 4,Third Party
No,Urban,42,"30,000 to 39,000",1,Third Party
No,Urban,37,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,30,"40,000 to 59,000",more than 4,Policy Holder
No,Rural,35,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,42,"20,000 to 29,000",none,Third Party
No,Urban,35,"20,000 to 29,000",2 to 4,Third Party
No,Urban,78,"more than 69,000",none,Policy Holder
No,Urban,46,"30,000 to 39,000",1,Policy Holder
No,Urban,31,"30,000 to 39,000",none,Third Party
No,Urban,32,"20,000 to 29,000",1,Third Party
No,Rural,33,"less than 20,000",none,Policy Holder
No,Urban,36,"more than 69,000",more than 4,Policy Holder
No,Urban,39,"30,000 to 39,000",1,Policy Holder
No,Urban,53,"30,000 to 39,000",2 to 4,Third Party
No,Urban,32,"20,000 to 29,000",none,Policy Holder
No,Urban,35,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,38,"30,000 to 39,000",1,Third Party
No,Urban,39,"20,000 to 29,000",more than 4,Policy Holder
No,Rural,49,"more than 69,000",1,Policy Holder
No,Urban,26,"less than 20,000",2 to 4,Policy Holder
No,Urban,39,"20,000 to 29,000",1,Policy Holder
No,Urban,64,"30,000 to 39,000",1,Policy Holder
No,Urban,34,"more than 69,000",2 to 4,Policy Holder
No,Urban,0,"more than 69,000",none,Policy Holder
No,Urban,49,"20,000 to 29,000",none,Third Party
Yes,Urban,40,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,58,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,37,"20,000 to 29,000",1,Third Party
No,Urban,44,"30,000 to 39,000",none,Policy Holder
No,Urban,26,"more than 69,000",2 to 4,Policy Holder
No,Urban,34,"more than 69,000",1,Third Party
No,Urban,30,"more than 69,000",2 to 4,Policy Holder
No,Urban,30,"20,000 to 29,000",2 to 4,Third Party
No,Urban,26,"more than 69,000",1,Policy Holder
No,Urban,56,"20,000 to 29,000",none,Policy Holder
No,Urban,36,"20,000 to 29,000",1,Third Party
No,Urban,50,"30,000 to 39,000",2 to 4,Third Party
No,Urban,27,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,29,"20,000 to 29,000",1,Third Party
No,Urban,43,"less than 20,000",none,Policy Holder
No,Urban,45,"30,000 to 39,000",none,Policy Holder
No,Urban,27,"30,000 to 39,000",2 to 4,Policy Holder
No,Rural,31,"less than 20,000",2 to 4,Third Party
No,Rural,39,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,22,"more than 69,000",1,Policy Holder
No,Urban,80,"more than 69,000",2 to 4,Policy Holder
No,Urban,31,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,41,"30,000 to 39,000",1,Policy Holder
No,Urban,36,"20,000 to 29,000",1,Policy Holder
No,Urban,40,"30,000 to 39,000",more than 4,Policy Holder
No,Rural,37,"20,000 to 29,000",none,Policy Holder
No,Rural,56,"20,000 to 29,000",none,Policy Holder
No,Urban,69,"60,000 to 69,000",more than 4,Third Party
No,Urban,45,"more than 69,000",none,Policy Holder
No,Urban,28,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,35,"30,000 to 39,000",none,Policy Holder
No,Urban,41,"20,000 to 29,000",1,Third Party
No,Urban,39,"20,000 to 29,000",none,Third Party
No,Urban,61,"30,000 to 39,000",1,Policy Holder
No,Urban,32,"more than 69,000",1,Policy Holder
No,Rural,43,"20,000 to 29,000",none,Policy Holder
No,Urban,44,"more than 69,000",1,Policy Holder
No,Urban,63,"40,000 to 59,000",2 to 4,Third Party
No,Rural,64,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,27,"20,000 to 29,000",none,Policy Holder
No,Urban,31,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,35,"20,000 to 29,000",none,Policy Holder
No,Urban,61,"30,000 to 39,000",1,Policy Holder
No,Urban,25,"20,000 to 29,000",1,Third Party
No,Urban,46,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,38,"20,000 to 29,000",1,Policy Holder
No,Urban,33,"20,000 to 29,000",1,Policy Holder
No,Rural,62,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,26,"20,000 to 29,000",1,Third Party
No,Urban,53,"20,000 to 29,000",none,Third Party
No,Urban,36,"20,000 to 29,000",1,Policy Holder
No,Urban,60,"20,000 to 29,000",1,Third Party
No,Urban,28,"20,000 to 29,000",none,Policy Holder
No,Urban,31,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,35,"less than 20,000",2 to 4,Policy Holder
No,Urban,50,"20,000 to 29,000",none,Policy Holder
No,Urban,42,"20,000 to 29,000",more than 4,Policy Holder
No,Rural,29,"less than 20,000",2 to 4,Policy Holder
Yes,Rural,35,"20,000 to 29,000",none,Policy Holder
Yes,Urban,34,"20,000 to 29,000",1,Policy Holder
No,Urban,53,"less than 20,000",none,Policy Holder
No,Urban,37,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,32,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,21,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,51,"20,000 to 29,000",1,Third Party
Yes,Urban,37,"more than 69,000",2 to 4,Policy Holder
No,Urban,46,"20,000 to 29,000",none,Third Party
No,Urban,33,"more than 69,000",none,Policy Holder
No,Urban,26,"less than 20,000",none,Third Party
No,Rural,41,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,65,"more than 69,000",none,Policy Holder
No,Urban,43,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,54,"30,000 to 39,000",none,Third Party
Yes,Urban,39,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,55,"more than 69,000",none,Policy Holder
No,Urban,55,"20,000 to 29,000",none,Policy Holder
No,Urban,26,"20,000 to 29,000",1,Policy Holder
No,Urban,38,"30,000 to 39,000",2 to 4,Third Party
No,Urban,61,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,22,"more than 69,000",2 to 4,Third Party
No,Urban,30,"more than 69,000",2 to 4,Policy Holder
No,Urban,41,"20,000 to 29,000",none,Policy Holder
No,Urban,22,"20,000 to 29,000",none,Third Party
No,Urban,30,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,26,"20,000 to 29,000",1,Policy Holder
No,Rural,31,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,58,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,58,"more than 69,000",more than 4,Policy Holder
No,Urban,32,"20,000 to 29,000",none,Third Party
No,Urban,33,"less than 20,000",1,Third Party
No,Urban,48,"more than 69,000",2 to 4,Policy Holder
No,Urban,60,"more than 69,000",none,Third Party
No,Urban,36,"more than 69,000",2 to 4,Policy Holder
No,Urban,29,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,26,"20,000 to 29,000",1,Policy Holder
No,Urban,29,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,30,"more than 69,000",1,Third Party
No,Rural,41,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,49,"20,000 to 29,000",none,Policy Holder
No,Urban,56,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,60,"20,000 to 29,000",none,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,33,"20,000 to 29,000",none,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,28,"20,000 to 29,000",none,Policy Holder
No,Urban,45,"20,000 to 29,000",2 to 4,Third Party
No,Urban,31,"20,000 to 29,000",none,Policy Holder
No,Urban,34,"20,000 to 29,000",1,Policy Holder
No,Urban,47,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,38,"more than 69,000",2 to 4,Policy Holder
No,Urban,45,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,49,"30,000 to 39,000",2 to 4,Third Party
No,Urban,39,"30,000 to 39,000",1,Policy Holder
No,Urban,52,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,31,"20,000 to 29,000",none,Policy Holder
No,Urban,53,"30,000 to 39,000",1,Policy Holder
Yes,Urban,43,"40,000 to 59,000",1,Policy Holder
No,Urban,43,"20,000 to 29,000",2 to 4,Third Party
No,Urban,47,"20,000 to 29,000",1,Policy Holder
No,Urban,52,"20,000 to 29,000",1,Policy Holder
No,Urban,29,"20,000 to 29,000",1,Policy Holder
No,Urban,30,"20,000 to 29,000",none,Policy Holder
No,Urban,25,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,45,"20,000 to 29,000",1,Policy Holder
No,Urban,39,"20,000 to 29,000",1,Policy Holder
No,Urban,30,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,38,"more than 69,000",2 to 4,Policy Holder
No,Urban,42,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,63,"20,000 to 29,000",1,Third Party
Yes,Urban,30,"more than 69,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",1,Policy Holder
No,Urban,31,"30,000 to 39,000",none,Third Party
No,Rural,51,"20,000 to 29,000",1,Policy Holder
No,Rural,38,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,34,"20,000 to 29,000",1,Policy Holder
Yes,Rural,67,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,56,"40,000 to 59,000",2 to 4,Third Party
No,Urban,24,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,57,"30,000 to 39,000",1,Policy Holder
No,Urban,37,"more than 69,000",2 to 4,Policy Holder
No,Urban,65,"20,000 to 29,000",1,Policy Holder
No,Urban,35,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,28,"less than 20,000",none,Policy Holder
Yes,Urban,37,"more than 69,000",2 to 4,Policy Holder
No,Urban,41,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",none,Third Party
Yes,Urban,32,"20,000 to 29,000",none,Policy Holder
No,Urban,30,"20,000 to 29,000",none,Policy Holder
No,Urban,42,"more than 69,000",2 to 4,Policy Holder
No,Rural,37,"30,000 to 39,000",1,Policy Holder
No,Urban,56,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,28,"20,000 to 29,000",none,Policy Holder
No,Rural,35,"20,000 to 29,000",1,Policy Holder
No,Urban,37,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,29,"30,000 to 39,000",1,Third Party
No,Urban,35,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,65,"less than 20,000",1,Policy Holder
No,Urban,21,"20,000 to 29,000",2 to 4,Third Party
No,Urban,31,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,54,"more than 69,000",2 to 4,Policy Holder
No,Urban,33,"20,000 to 29,000",1,Third Party
No,Urban,21,"30,000 to 39,000",2 to 4,Third Party
No,Urban,29,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,29,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,42,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,27,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,32,"20,000 to 29,000",2 to 4,Third Party
No,Urban,29,"30,000 to 39,000",none,Policy Holder
No,Urban,76,"20,000 to 29,000",none,Policy Holder
No,Rural,59,"20,000 to 29,000",1,Policy Holder
No,Urban,29,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,34,"20,000 to 29,000",none,Policy Holder
No,Rural,42,"20,000 to 29,000",none,Policy Holder
Yes,Urban,53,"more than 69,000",2 to 4,Policy Holder
No,Urban,33,"20,000 to 29,000",none,Policy Holder
No,Urban,41,"40,000 to 59,000",1,Policy Holder
No,Urban,47,"20,000 to 29,000",none,Third Party
No,Urban,36,"30,000 to 39,000",none,Policy Holder
No,Urban,66,"20,000 to 29,000",none,Policy Holder
No,Urban,49,"20,000 to 29,000",none,Third Party
No,Urban,27,"30,000 to 39,000",1,Policy Holder
No,Urban,37,"20,000 to 29,000",none,Third Party
No,Urban,35,"20,000 to 29,000",none,Policy Holder
No,Rural,48,"20,000 to 29,000",1,Third Party
No,Urban,34,"20,000 to 29,000",1,Policy Holder
No,Urban,32,"more than 69,000",none,Policy Holder
No,Urban,36,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,47,"more than 69,000",1,Third Party
No,Urban,31,"20,000 to 29,000",none,Third Party
No,Urban,47,"more than 69,000",2 to 4,Policy Holder
No,Urban,70,"30,000 to 39,000",none,Third Party
No,Urban,35,"20,000 to 29,000",none,Policy Holder
No,Rural,26,"20,000 to 29,000",1,Third Party
Yes,Urban,0,"more than 69,000",none,Policy Holder
No,Urban,45,"20,000 to 29,000",2 to 4,Third Party
No,Urban,45,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,40,"30,000 to 39,000",2 to 4,Third Party
No,Urban,36,"20,000 to 29,000",none,Policy Holder
No,Urban,46,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,80,"more than 69,000",none,Policy Holder
No,Urban,40,"20,000 to 29,000",2 to 4,Third Party
No,Urban,21,"20,000 to 29,000",2 to 4,Third Party
No,Urban,33,"20,000 to 29,000",2 to 4,Third Party
No,Urban,29,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,26,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,65,"40,000 to 59,000",2 to 4,Third Party
No,Urban,58,"20,000 to 29,000",none,Third Party
No,Urban,31,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,51,"less than 20,000",none,Policy Holder
No,Urban,44,"20,000 to 29,000",1,Policy Holder
No,Rural,45,"30,000 to 39,000",none,Policy Holder
No,Urban,20,"30,000 to 39,000",1,Policy Holder
No,Urban,22,"20,000 to 29,000",none,Policy Holder
No,Urban,35,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,26,"20,000 to 29,000",none,Policy Holder
No,Urban,34,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,29,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,53,"more than 69,000",none,Policy Holder
No,Urban,23,"less than 20,000",2 to 4,Policy Holder
No,Urban,32,"30,000 to 39,000",1,Policy Holder
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,54,"more than 69,000",more than 4,Policy Holder
No,Urban,57,"20,000 to 29,000",1,Policy Holder
No,Urban,65,"30,000 to 39,000",1,Policy Holder
No,Urban,28,"more than 69,000",2 to 4,Policy Holder
No,Urban,46,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,28,"20,000 to 29,000",none,Policy Holder
No,Urban,45,"20,000 to 29,000",1,Third Party
No,Urban,34,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,42,"more than 69,000",2 to 4,Policy Holder
No,Rural,31,"more than 69,000",1,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,24,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,32,"20,000 to 29,000",1,Third Party
No,Urban,44,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,26,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,40,"30,000 to 39,000",1,Policy Holder
No,Urban,41,"20,000 to 29,000",1,Policy Holder
No,Urban,30,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,31,"20,000 to 29,000",none,Third Party
No,Rural,45,"20,000 to 29,000",none,Third Party
No,Urban,49,"20,000 to 29,000",none,Policy Holder
No,Urban,21,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,23,"less than 20,000",1,Policy Holder
Yes,Rural,41,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,21,"20,000 to 29,000",2 to 4,Third Party
No,Urban,29,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,27,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,34,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,50,"more than 69,000",1,Policy Holder
No,Urban,24,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,16,"more than 69,000",none,Third Party
No,Urban,33,"20,000 to 29,000",more than 4,Third Party
No,Rural,64,"20,000 to 29,000",1,Policy Holder
No,Urban,51,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,42,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Rural,28,"less than 20,000",1,Policy Holder
No,Urban,48,"40,000 to 59,000",1,Policy Holder
No,Rural,41,"30,000 to 39,000",none,Policy Holder
No,Rural,54,"30,000 to 39,000",none,Policy Holder
No,Urban,46,"30,000 to 39,000",none,Policy Holder
No,Urban,60,"20,000 to 29,000",2 to 4,Third Party
No,Urban,44,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,36,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,34,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,48,"less than 20,000",none,Policy Holder
No,Urban,43,"20,000 to 29,000",none,Third Party
No,Urban,20,"more than 69,000",none,Policy Holder
No,Urban,36,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,37,"20,000 to 29,000",none,Third Party
No,Urban,35,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,40,"20,000 to 29,000",none,Third Party
No,Urban,28,"20,000 to 29,000",2 to 4,Third Party
No,Urban,57,"more than 69,000",none,Policy Holder
No,Urban,45,"30,000 to 39,000",none,Third Party
No,Urban,38,"20,000 to 29,000",1,Policy Holder
No,Urban,71,"30,000 to 39,000",2 to 4,Policy Holder
Yes,Urban,43,"less than 20,000",1,Policy Holder
No,Urban,57,"20,000 to 29,000",none,Policy Holder
No,Urban,35,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,44,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,44,"more than 69,000",2 to 4,Third Party
No,Urban,39,"more than 69,000",more than 4,Policy Holder
Yes,Urban,31,"less than 20,000",1,Policy Holder
No,Urban,38,"20,000 to 29,000",none,Third Party
Yes,Rural,30,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,71,"20,000 to 29,000",2 to 4,Third Party
No,Urban,54,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,37,"30,000 to 39,000",1,Third Party
No,Urban,55,"20,000 to 29,000",1,Policy Holder
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,32,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,39,"20,000 to 29,000",1,Policy Holder
No,Urban,44,"30,000 to 39,000",2 to 4,Third Party
No,Urban,57,"less than 20,000",2 to 4,Policy Holder
No,Urban,60,"more than 69,000",2 to 4,Policy Holder
No,Urban,23,"20,000 to 29,000",2 to 4,Third Party
No,Urban,50,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,27,"20,000 to 29,000",none,Policy Holder
No,Urban,23,"20,000 to 29,000",2 to 4,Third Party
No,Urban,29,"20,000 to 29,000",none,Policy Holder
No,Urban,34,"more than 69,000",none,Policy Holder
No,Urban,48,"30,000 to 39,000",2 to 4,Policy Holder
Yes,Urban,40,"20,000 to 29,000",1,Policy Holder
No,Urban,30,"20,000 to 29,000",none,Policy Holder
No,Urban,31,"20,000 to 29,000",more than 4,Policy Holder
Yes,Urban,61,"less than 20,000",1,Policy Holder
No,Rural,46,"20,000 to 29,000",more than 4,Third Party
No,Urban,29,"20,000 to 29,000",2 to 4,Third Party
No,Urban,57,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,33,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,25,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,30,"30,000 to 39,000",none,Policy Holder
No,Urban,33,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,62,"20,000 to 29,000",1,Policy Holder
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,32,"less than 20,000",none,Policy Holder
No,Urban,42,"less than 20,000",more than 4,Policy Holder
No,Urban,30,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,39,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,37,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,42,"20,000 to 29,000",none,Third Party
